Date,year,monthNum,month,day,trips,day_of_week,Fedholiday,cumulativeTrips,milesToday,totalMiles,Dailytrips-per-member,members,Annual-member-sign-ups,24-hour-passes,7-Day-Passes,maxtemp,meantemp,mintemp,Max-Dew-PointF,MeanDewPointF,MinDewpointF,Max-Humidity,MeanHumidity,Min-Humidity,Max-Sea-Level-PressureIn,MeanSeaLevelPressureIn, Min Sea Level PressureIn, Max VisibilityMiles,MeanVisibilityMiles, Min VisibilityMiles,maxwind,meanwind,maxgust,precip,rain,cloudsNum,sky,Events, WindDirDegrees
5/27/13,2013,5,May,27,9795,Monday,1,9795,27969.69,27969.69,0.569079712,17212,111,0,0,73,62,51,39,36,32,54,39,23,30.25,30.19,30.12,10,10,10,12,4,20,0,No rain,0,Sunny,,264
5/28/13,2013,5,May,28,5215,Tuesday,0,15010,16861.95,44831.64,0.263197739,19814,22,0,0,68,62,56,57,52,40,100,72,43,30.23,30.19,30.14,10,4,0,10,3,17,0.52,Rain,6,Cloudy,Fog-Rain,109
5/29/13,2013,5,May,29,10981,Wednesday,0,25991,36760.47,81592.11,0.499545082,21982,79,0,0,82,70,58,66,61,57,100,79,58,30.16,30.09,30,10,4,0,10,2,16,0,No rain,4,Cloudy,Fog,86
5/30/13,2013,5,May,30,9850,Thursday,0,35841,47006.02,128598.13,0.410758966,23980,168,0,0,90,81,72,66,63,59,73,56,38,30.13,30.09,30.06,10,9,6,10,5,17,0,No rain,1,Sunny,,252
5/31/13,2013,5,May,31,9253,Friday,0,45094,44902.41,173500.54,0.361304178,25610,488,0,0,90,83,75,68,63,56,69,52,35,30.12,30.06,29.99,10,9,7,10,4,18,0,No rain,0,Sunny,,257
6/1/13,2013,6,Jun,1,9852,Saturday,0,54946,47498.85,220999.39,0.368271531,26752,2165,0,0,90,82,73,68,65,62,73,59,45,30.02,29.97,29.9,10,10,9,12,4,20,0,No rain,0,Sunny,,240
6/2/13,2013,6,Jun,2,17590,Sunday,0,72536,70659.35,291658.75,0.622698952,28248,4723,4723,289,88,79,69,71,66,62,97,73,48,29.91,29.84,29.77,10,9,0,15,6,26,0.85,Rain,2,Sunny,Fog-Rain,248
6/3/13,2013,6,Jun,3,8599,Monday,0,81135,31547.41,323206.16,0.290398838,29611,1160,1160,221,78,72,66,69,67,46,97,71,45,29.89,29.85,29.8,10,5,0,12,3,19,0.87,Rain,7,Cloudy,Fog-Rain,65
6/4/13,2013,6,Jun,4,17589,Tuesday,0,98724,106170.69,429376.85,0.565744612,31090,2922,2922,394,75,66,57,47,41,36,57,43,29,30.12,30.01,29.91,10,10,10,13,5,21,0,No rain,1,Sunny,,300
6/5/13,2013,6,Jun,5,17433,Wednesday,0,116157,84370.07,513746.92,0.534426732,32620,2821,2821,279,74,66,58,53,44,35,78,57,36,30.21,30.16,30.12,10,10,10,10,4,19,0,No rain,0,Sunny,,87
6/6/13,2013,6,Jun,6,13732,Thursday,0,129889,46772.57,560519.49,0.404429522,33954,1872,1872,210,70,65,59,59,55,48,97,72,47,30.16,30.11,30.02,10,8,5,13,5,21,0.13,Little rain,4,Cloudy,Rain,146
6/7/13,2013,6,Jun,7,1393,Friday,0,131282,3307.2,563826.69,0.040436587,34449,66,66,11,63,61,59,61,59,57,100,95,90,30,29.84,29.64,8,2,0,20,8,32,4.16,Rain,8,Cloudy,Fog-Rain,74
6/8/13,2013,6,Jun,8,19899,Saturday,0,151181,65022.25,628848.94,0.564783016,35233,5013,5013,230,77,67,57,63,58,54,93,77,61,30.05,29.8,29.58,10,8,2,15,4,20,0.48,Rain,6,Cloudy,Rain,320
6/9/13,2013,6,Jun,9,23236,Sunday,0,174417,85115.3,713964.24,0.640198374,36295,5772,5772,275,80,72,63,60,58,54,84,63,42,30.17,30.13,30.07,10,10,9,10,2,17,0,No rain,1,Sunny,,313
6/10/13,2013,6,Jun,10,4504,Monday,0,178921,17306.08,731270.32,0.121447446,37086,290,290,82,70,66,62,66,63,61,100,84,68,30.16,30.04,29.84,9,3,0,14,6,25,1.38,Rain,7,Cloudy,Fog-Rain,105
6/11/13,2013,6,Jun,11,14638,Tuesday,0,193559,39973.38,771243.7,0.386288067,37894,1836,1836,273,80,72,64,67,64,57,100,79,58,29.82,29.73,29.62,10,6,2,16,6,30,0.09,Little rain,6,Cloudy,Rain,305
6/12/13,2013,6,Jun,12,18960,Wednesday,0,212519,53738.33,824982.03,0.48859683,38805,2767,2767,316,76,71,65,59,52,49,70,54,38,29.85,29.79,29.71,10,10,9,16,5,29,0,No rain,1,Sunny,,308
6/13/13,2013,6,Jun,13,8782,Thursday,0,221301,19604.96,844586.99,0.222656052,39442,701,701,119,69,62,55,61,58,51,93,74,55,29.84,29.63,29.48,10,6,0,20,7,31,1.26,Rain,7,Cloudy,Fog-Rain,89
6/14/13,2013,6,Jun,14,16423,Friday,0,237724,38374.15,882961.14,0.409775937,40078,2268,2268,211,72,63,53,60,53,51,93,73,53,29.89,29.71,29.55,10,8,2,18,5,28,0.38,Rain,6,Cloudy,Rain,4
6/15/13,2013,6,Jun,15,27276,Saturday,0,265000,76630.06,959591.2,0.67013906,40702,6107,6107,319,80,71,61,55,51,46,78,55,32,30.01,29.95,29.9,10,10,10,12,4,21,0,No rain,1,Sunny,,290
6/16/13,2013,6,Jun,16,23610,Sunday,0,288610,64453.79,1024044.99,0.568354156,41541,4413,4413,314,80,73,65,64,56,48,73,58,43,29.99,29.89,29.78,10,10,9,15,4,29,0,No rain,2,Sunny,,264
6/17/13,2013,6,Jun,17,21278,Monday,0,309888,45058.23,1069103.22,0.499906024,42564,2378,2378,530,84,77,69,66,64,60,84,68,51,29.91,29.88,29.84,10,9,2,10,3,23,0.01,Little rain,1,Sunny,Rain,257
6/18/13,2013,6,Jun,18,14826,Tuesday,0,324714,28597.85,1097701.08,0.341660137,43394,1236,1236,277,84,74,64,69,64,62,93,72,51,29.9,29.88,29.83,9,6,2,12,4,16,0.19,Little rain,5,Cloudy,Rain,74
6/19/13,2013,6,Jun,19,26267,Wednesday,0,350981,60836.02,1158537.1,0.59396694,44223,2678,2678,607,77,68,59,63,53,43,93,62,31,30.17,30.01,29.88,10,9,3,13,5,19,0.01,Little rain,2,Sunny,Rain,25
6/20/13,2013,6,Jun,20,28994,Thursday,0,379975,62228.55,1220765.65,0.643967662,45024,2814,2814,421,80,71,62,57,53,48,67,56,45,30.27,30.24,30.18,10,10,9,12,4,20,0,No rain,0,Sunny,,225
6/21/13,2013,6,Jun,21,30660,Friday,0,410635,65779.86,1286545.51,0.66921314,45815,3465,3465,408,82,73,64,57,52,43,63,53,42,30.31,30.27,30.24,10,10,10,10,5,21,0,No rain,0,Sunny,,245
6/22/13,2013,6,Jun,22,31885,Saturday,0,442520,81880.1,1368425.61,0.686466586,46448,5902,5902,383,84,75,65,62,54,46,61,53,44,30.27,30.22,30.14,10,10,9,10,4,20,0,No rain,0,Sunny,,253
6/23/13,2013,6,Jun,23,30653,Sunday,0,473173,80836.21,1449261.83,0.649386692,47203,4959,4959,279,88,79,70,70,65,58,82,67,51,30.19,30.13,30.06,10,10,9,14,5,24,0,No rain,1,Sunny,,223
6/24/13,2013,6,Jun,24,26636,Monday,0,499809,51690.91,1500952.74,0.553360341,48135,1844,1844,386,92,83,74,70,67,60,87,64,40,30.1,30.03,29.96,10,9,7,13,4,20,0,No rain,1,Sunny,,258
6/25/13,2013,6,Jun,25,30426,Tuesday,0,530235,56243.01,1557195.74,0.622017786,48915,1937,1937,343,91,82,73,70,66,62,73,59,44,29.99,29.9,29.81,10,8,7,14,3,28,0,No rain,1,Sunny,,252
6/26/13,2013,6,Jun,26,32322,Wednesday,0,562557,59763.58,1616959.32,0.650800362,49665,2000,2000,301,85,80,74,70,66,63,82,67,51,29.85,29.82,29.78,10,9,1,12,4,19,0.05,Little rain,2,Sunny,Rain,267
6/27/13,2013,6,Jun,27,28094,Thursday,0,590651,55252.08,1672211.4,0.557918777,50355,1680,1680,223,86,80,73,73,70,66,93,75,57,29.81,29.7,29.57,10,6,1,13,4,24,0.24,Little rain,5,Cloudy,Rain,129
6/28/13,2013,6,Jun,28,30595,Friday,0,621246,59112.29,1731323.69,0.599561034,51029,2268,2268,291,85,79,73,71,69,63,93,74,55,29.59,29.53,29.48,10,9,5,12,5,22,0,No rain,4,Cloudy,,247
6/29/13,2013,6,Jun,29,32947,Saturday,0,654193,76969.88,1808293.57,0.639685467,51505,4895,4895,296,83,77,71,71,67,63,84,71,58,29.7,29.6,29.5,10,8,6,12,4,18,0,No rain,3,Cloudy,,222
6/30/13,2013,6,Jun,30,27284,Sunday,0,681477,62610.94,1870904.52,0.523434053,52125,3592,3592,178,86,80,73,73,71,68,94,80,65,29.94,29.84,29.71,10,7,3,10,3,20,0,No rain,4,Cloudy,Rain,178
7/1/13,2013,7,Jul,1,20151,Monday,0,701628,36872.21,1907776.73,0.382212359,52722,846,846,167,77,75,72,73,71,70,93,88,82,30.06,29.99,29.91,9,5,0,14,3,26,0.84,Rain,7,Cloudy,Fog-Rain,203
7/2/13,2013,7,Jul,2,26682,Tuesday,0,728310,49298.09,1957074.82,0.500506472,53310,1435,1435,219,82,77,72,74,72,70,94,84,74,30.19,30.11,30.06,10,8,6,12,3,22,0.08,Little rain,6,Cloudy,Rain,170
7/3/13,2013,7,Jul,3,25509,Wednesday,0,753819,48146.35,2005221.17,0.474603706,53748,1419,1419,189,83,78,73,76,73,68,100,87,74,30.26,30.21,30.17,10,7,0,12,4,18,0.53,Rain,4,Cloudy,Fog-Rain,250
7/4/13,2013,7,Jul,4,26004,Thursday,1,779823,64057.02,2069278.19,0.480905443,54073,4219,4219,257,87,81,75,75,72,69,100,80,59,30.28,30.22,30.16,10,8,6,14,4,23,0,No rain,4,Cloudy,,235
7/5/13,2013,7,Jul,5,25541,Friday,0,805364,53649.01,2122927.2,0.468582017,54507,2803,2803,215,90,83,76,73,71,66,87,69,51,30.25,30.17,30.09,10,9,8,13,5,19,0,No rain,1,Sunny,,235
7/6/13,2013,7,Jul,6,23697,Saturday,0,829061,54461.08,2177388.28,0.43208796,54843,3178,3178,172,92,85,78,72,70,67,79,62,44,30.14,30.09,30.03,10,10,9,13,5,21,0,No rain,0,Sunny,,270
7/7/13,2013,7,Jul,7,23688,Sunday,0,852749,52295.37,2229683.66,0.428478402,55284,2703,2703,186,92,85,78,72,70,63,74,63,51,30.06,30,29.93,10,10,10,13,4,23,0,No rain,1,Sunny,,256
7/8/13,2013,7,Jul,8,26063,Monday,0,878812,61590.26,2291273.92,0.465651855,55971,1453,1453,321,89,81,73,72,67,64,87,67,46,30.05,30.01,29.96,10,8,0,13,5,24,0.22,Little rain,2,Sunny,Fog-Rain,263
7/9/13,2013,7,Jul,9,30929,Tuesday,0,909741,58285.89,2349559.81,0.546352235,56610,1379,1379,287,88,81,74,74,68,65,88,71,53,30.08,30.04,29.99,9,6,1,15,3,25,0.23,Little rain,3,Cloudy,Rain,251
7/10/13,2013,7,Jul,10,30705,Wednesday,0,940446,54589.46,2404149.27,0.536857013,57194,1435,1435,223,85,80,75,74,71,68,87,73,59,30.01,29.92,29.81,10,6,4,13,4,20,0,No rain,4,Cloudy,Rain,243
7/11/13,2013,7,Jul,11,29689,Thursday,0,970135,56229.49,2460378.76,0.514317887,57725,1478,1478,196,84,80,76,73,67,58,85,66,47,29.93,29.86,29.8,10,9,7,10,4,17,0,No rain,3,Cloudy,,292
7/12/13,2013,7,Jul,12,22817,Friday,0,992952,40565.31,2500944.07,0.392496517,58133,1096,1096,118,77,73,68,69,65,59,93,74,54,30.12,30.05,29.93,10,6,2,18,10,27,0.25,Little rain,6,Cloudy,Rain,68
7/13/13,2013,7,Jul,13,30132,Saturday,0,1023084,65591.26,2566535.33,0.515120951,58495,3285,3285,213,81,74,67,72,70,66,97,86,74,30.31,30.23,30.12,9,5,2,13,5,18,0.06,Little rain,7,Cloudy,Rain,74
7/14/13,2013,7,Jul,14,33545,Sunday,0,1056629,76520.29,2643055.61,0.569002951,58954,3681,3681,224,90,82,74,74,71,67,100,76,51,30.37,30.31,30.24,10,7,4,10,4,16,0,No rain,4,Cloudy,Rain,263
7/15/13,2013,7,Jul,15,32565,Monday,0,1089194,58377.04,2701432.65,0.546456799,59593,1382,1382,273,94,86,78,73,70,67,79,62,44,30.25,30.2,30.13,10,10,8,9,4,16,0,No rain,1,Sunny,,307
7/16/13,2013,7,Jul,16,34757,Tuesday,0,1123951,61412.75,2762845.4,0.578040546,60129,1288,1288,251,94,86,77,70,65,60,71,54,36,30.2,30.17,30.13,10,9,9,14,5,20,0,No rain,1,Sunny,,29
7/17/13,2013,7,Jul,17,35172,Wednesday,0,1159123,60645.27,2823490.66,0.580214124,60619,1303,1303,201,97,88,79,71,68,63,71,53,34,30.19,30.13,30.07,10,8,7,9,3,16,0,No rain,1,Sunny,,35
7/18/13,2013,7,Jul,18,33222,Thursday,0,1192345,56408.59,2879899.25,0.544551534,61008,1094,1094,143,98,90,81,72,69,66,65,52,38,30.07,30.01,29.96,10,8,6,9,4,15,0,No rain,0,Sunny,,270
7/19/13,2013,7,Jul,19,30667,Friday,0,1223012,52643.81,2932543.05,0.499739269,61366,1389,1389,164,96,90,83,75,73,69,74,60,46,29.97,29.89,29.79,8,6,5,15,5,25,0,No rain,1,Sunny,,251
7/20/13,2013,7,Jul,20,29145,Saturday,0,1252157,61293.03,2993836.09,0.472734056,61652,2811,2811,169,93,87,81,74,69,67,69,58,47,29.83,29.79,29.73,10,7,6,15,6,26,0,No rain,1,Sunny,,254
7/21/13,2013,7,Jul,21,34694,Sunday,0,1286851,76105.5,3069941.58,0.558913555,62074,3502,3502,191,89,83,76,69,64,58,79,58,36,29.96,29.91,29.84,10,10,8,12,5,17,0,No rain,2,Sunny,,80
7/22/13,2013,7,Jul,22,29778,Monday,0,1316629,51578.74,3121520.32,0.475861738,62577,1005,1005,184,86,81,75,74,71,66,94,80,65,29.98,29.9,29.81,9,6,2,12,5,17,0.06,Little rain,6,Cloudy,Rain,88
7/23/13,2013,7,Jul,23,36694,Tuesday,0,1353323,69586.3,3191106.62,0.58220417,63026,1390,1390,220,87,80,73,74,72,67,94,75,55,29.83,29.69,29.57,10,6,1,14,4,23,0.31,Rain,6,Cloudy,Rain,251
7/24/13,2013,7,Jul,24,39947,Wednesday,0,1393270,74591.45,3265698.07,0.629423628,63466,1708,1708,211,83,76,68,68,62,52,79,62,45,29.94,29.75,29.62,10,10,10,14,5,22,0,No rain,2,Sunny,,327
7/25/13,2013,7,Jul,25,35454,Thursday,0,1428724,62995.26,3328693.33,0.555513773,63822,1163,1163,144,68,66,64,59,53,49,73,63,52,30.07,30.02,29.94,10,10,10,17,9,25,0.01,Little rain,8,Cloudy,Rain,57
7/26/13,2013,7,Jul,26,38767,Friday,0,1467491,72604.91,3401298.24,0.604016703,64182,2073,2073,176,83,74,65,63,58,55,78,59,40,30.05,30.02,30,10,10,10,13,5,18,0,No rain,5,Cloudy,,34
7/27/13,2013,7,Jul,27,36441,Saturday,0,1503932,82719.26,3484017.5,0.565020544,64495,4259,4259,197,82,76,70,64,62,57,84,65,45,30.06,30.02,29.97,10,10,8,12,3,21,0,No rain,1,Sunny,,250
7/28/13,2013,7,Jul,28,26318,Sunday,0,1530250,54930.66,3538948.16,0.405616177,64884,2391,2391,137,78,74,70,71,67,63,93,80,67,30.02,29.97,29.93,10,7,2,13,2,20,0.24,Little rain,5,Cloudy,Rain,161
7/29/13,2013,7,Jul,29,39177,Monday,0,1569427,73525.17,3612473.33,0.59921078,65381,1712,1712,275,85,77,69,69,63,49,97,66,34,30.1,30.02,29.96,10,9,5,14,4,22,0.01,Little rain,2,Sunny,Rain,293
7/30/13,2013,7,Jul,30,42032,Tuesday,0,1611459,79312.12,3691785.45,0.638250702,65855,1701,1701,237,83,75,67,56,54,52,63,51,39,30.17,30.13,30.11,10,10,10,10,4,17,0,No rain,1,Sunny,,294
7/31/13,2013,7,Jul,31,41829,Wednesday,0,1653288,77455.5,3769240.96,0.630809833,66310,1692,1692,186,83,75,67,61,57,54,68,54,39,30.17,30.11,30.05,10,10,10,8,3,17,0,No rain,1,Sunny,,243
8/1/13,2013,8,Aug,1,22618,Thursday,0,1675906,36087.96,3805328.92,0.339385391,66644,415,415,73,76,71,66,68,65,60,97,79,60,30.04,29.93,29.84,10,4,0,10,3,16,0.65,Rain,7,Cloudy,Fog-Rain,199
8/2/13,2013,8,Aug,2,39929,Friday,0,1715835,76850.08,3882179,0.59571516,67027,2302,2302,230,83,75,67,68,63,56,97,69,40,29.92,29.86,29.8,10,7,2,13,5,25,0,No rain,3,Cloudy,,281
8/3/13,2013,8,Aug,3,33492,Saturday,0,1749327,73880.78,3956059.78,0.49770407,67293,3417,3417,180,78,73,68,65,61,55,73,63,53,29.92,29.89,29.84,10,9,4,13,3,18,0.06,Little rain,4,Cloudy,Rain,260
8/4/13,2013,8,Aug,4,39265,Sunday,0,1788592,92853.07,4048912.85,0.580113762,67685,4547,4547,261,80,73,66,62,54,48,78,57,36,29.97,29.89,29.86,10,10,10,13,5,21,0,No rain,1,Sunny,,322
8/5/13,2013,8,Aug,5,40897,Monday,0,1829489,79011.43,4127924.28,0.59929369,68242,1924,1924,276,78,70,62,51,47,40,67,48,29,30.06,30.03,29.98,10,10,10,10,3,16,0,No rain,0,Sunny,,289
8/6/13,2013,8,Aug,6,42086,Tuesday,0,1871575,81608.23,4209532.51,0.61221343,68744,1778,1778,222,82,73,64,58,54,49,73,54,35,30.13,30.09,30.05,10,10,10,9,3,17,0,No rain,2,Sunny,,55
8/7/13,2013,8,Aug,7,38381,Wednesday,0,1909956,67642.99,4277175.5,0.555144134,69137,1261,1261,183,80,75,70,67,62,59,79,65,51,30.16,30.12,30.07,10,10,10,13,5,22,0,No rain,7,Cloudy,,172
8/8/13,2013,8,Aug,8,31537,Thursday,0,1941493,54038.73,4331214.23,0.454188029,69436,946,946,137,81,76,70,74,70,67,97,86,74,30.09,30.05,30.01,10,5,0,10,4,19,0.46,Rain,7,Cloudy,Fog-Rain,188
8/9/13,2013,8,Aug,9,32262,Friday,0,1973755,58270.72,4389484.94,0.462723387,69722,1269,1269,134,85,80,74,75,72,70,94,80,65,30.02,29.9,29.81,10,8,3,16,4,22,0.05,Little rain,6,Cloudy,Rain,198
8/10/13,2013,8,Aug,10,42245,Saturday,0,2016000,103374.87,4492859.82,0.603534488,69996,5567,5567,223,83,77,70,70,60,51,82,61,39,30.06,29.97,29.88,10,10,10,14,5,21,0,No rain,0,Sunny,,305
8/11/13,2013,8,Aug,11,36502,Sunday,0,2052502,84843.06,4577702.88,0.518730105,70368,3826,3826,234,81,73,65,63,54,49,68,52,36,30.13,30.08,30.04,10,10,10,9,3,14,0,No rain,4,Cloudy,,282
8/12/13,2013,8,Aug,12,34902,Monday,0,2087404,63964.77,4641667.65,0.492973065,70799,1314,1314,257,82,76,70,68,65,59,90,70,49,30.06,29.99,29.94,10,9,2,8,2,13,0.05,Little rain,5,Cloudy,Rain,291
8/13/13,2013,8,Aug,13,24995,Tuesday,0,2112399,46673.63,4688341.28,0.351443315,71121,787,787,111,77,73,68,71,67,64,97,83,69,29.92,29.79,29.7,10,5,1,12,3,18,0.85,Rain,6,Cloudy,Rain,170
8/14/13,2013,8,Aug,14,42226,Wednesday,0,2154625,78504.31,4766845.59,0.590730404,71481,1727,1727,219,74,68,61,64,49,44,87,64,41,30.05,29.88,29.76,10,10,9,15,6,27,0,No rain,1,Sunny,,317
8/15/13,2013,8,Aug,15,41647,Thursday,0,2196272,76042.75,4842888.34,0.579541343,71862,1733,1733,179,78,69,59,52,48,42,72,52,31,30.15,30.11,30.06,10,10,10,10,4,16,0,No rain,1,Sunny,,286
8/16/13,2013,8,Aug,16,39929,Friday,0,2236201,77974.52,4920862.85,0.552979628,72207,2085,2085,170,82,73,64,56,52,47,73,52,30,30.21,30.16,30.13,10,10,10,8,2,13,0,No rain,2,Sunny,,210
8/17/13,2013,8,Aug,17,42302,Saturday,0,2278503,100644.38,5021507.24,0.583709346,72471,5729,5729,217,84,74,64,58,53,50,68,51,34,30.28,30.25,30.22,10,10,10,8,2,11,0,No rain,1,Sunny,,60
8/18/13,2013,8,Aug,18,30604,Sunday,0,2309107,62118.39,5083625.63,0.420119155,72846,2524,2524,160,76,72,68,62,55,50,73,57,41,30.26,30.21,30.14,10,10,8,10,3,15,0,No rain,2,Sunny,,44
8/19/13,2013,8,Aug,19,36734,Monday,0,2345841,65131.45,5148757.08,0.501152812,73299,1395,1395,236,79,73,66,64,59,56,79,64,48,30.13,30.08,30.04,10,10,8,9,3,17,0,No rain,0,Sunny,,263
8/20/13,2013,8,Aug,20,39671,Tuesday,0,2385512,71208.6,5219965.68,0.538254888,73703,1491,1491,233,88,78,68,65,62,57,84,61,37,30.13,30.09,30.05,10,10,8,9,3,14,0,No rain,2,Sunny,,273
8/21/13,2013,8,Aug,21,40168,Wednesday,0,2425680,72187.25,5292152.93,0.542224622,74080,1365,1365,176,90,81,72,66,62,56,73,54,34,30.18,30.12,30.06,10,10,8,8,3,14,0,No rain,0,Sunny,,282
8/22/13,2013,8,Aug,22,29570,Thursday,0,2455250,50731.47,5342884.41,0.397446237,74400,787,787,128,78,75,71,72,70,68,93,84,74,30.07,29.99,29.88,10,6,2,10,4,16,0.25,Little rain,5,Cloudy,Rain,263
8/23/13,2013,8,Aug,23,37002,Friday,0,2492252,69056.73,5411941.14,0.495255176,74713,1965,1965,157,82,77,71,68,58,50,84,59,33,30.1,29.98,29.88,10,9,6,13,6,19,0,No rain,0,Sunny,,23
8/24/13,2013,8,Aug,24,36343,Saturday,0,2528595,77721.21,5489662.35,0.484495814,75012,3933,3933,194,80,73,65,58,51,43,68,48,28,30.35,30.27,30.12,10,10,10,14,5,20,0,No rain,1,Sunny,,77
8/25/13,2013,8,Aug,25,34845,Sunday,0,2563440,78867.26,5568529.6,0.462306957,75372,3626,3626,199,83,74,64,57,53,49,78,55,31,30.4,30.32,30.24,10,10,10,10,4,19,0,No rain,0,Sunny,,279
8/26/13,2013,8,Aug,26,33037,Monday,0,2596477,60571.79,5629101.39,0.436097471,75756,1098,1098,190,84,76,68,69,59,53,93,70,46,30.24,30.07,29.92,10,10,6,14,6,22,0.04,Little rain,3,Cloudy,Rain,253
8/27/13,2013,8,Aug,27,37498,Tuesday,0,2633975,67298.37,5696399.76,0.492597507,76123,1222,1222,188,87,79,71,68,66,64,90,69,48,29.91,29.87,29.83,10,10,8,12,5,17,0.01,Little rain,4,Cloudy,Rain,348
8/28/13,2013,8,Aug,28,30786,Wednesday,0,2664761,52087.93,5748487.69,0.402947567,76402,765,765,102,86,79,71,72,70,65,93,76,58,29.93,29.89,29.86,10,4,0,9,3,14,0.43,Rain,3,Cloudy,Fog-Rain,58
8/29/13,2013,8,Aug,29,37546,Thursday,0,2702307,64515.35,5813003.04,0.48971553,76669,1363,1363,141,80,76,71,70,67,63,93,78,62,30.05,29.99,29.9,10,7,2,12,5,18,0,No rain,6,Cloudy,Rain,69
8/30/13,2013,8,Aug,30,35237,Friday,0,2737544,65061.31,5878064.35,0.458087413,76922,1872,1872,165,85,78,70,68,65,63,84,66,48,30.04,29.95,29.87,10,9,7,13,4,20,0,No rain,4,Cloudy,,241
8/31/13,2013,8,Aug,31,17864,Saturday,0,2755408,38932.32,5916996.67,0.231599964,77133,3064,3064,174,86,80,73,71,69,67,84,73,61,29.89,29.84,29.79,10,8,6,13,5,24,0,No rain,4,Cloudy,,250
9/1/13,2013,9,Sep,1,27159,Sunday,0,2782567,59511.81,5976508.48,0.351204562,77331,3273,3273,148,84,80,75,72,70,69,87,76,65,29.89,29.84,29.8,10,9,6,10,2,17,0,No rain,3,Cloudy,,177
9/2/13,2013,9,Sep,2,23087,Monday,1,2805654,46390.09,6022898.58,0.297478385,77609,1829,1829,121,82,78,74,74,72,67,94,82,69,29.84,29.78,29.72,10,6,2,12,1,17,0.05,Little rain,5,Cloudy,Rain,194
9/3/13,2013,9,Sep,3,35123,Tuesday,0,2840777,60574.2,6083472.77,0.450312191,77997,1015,1015,157,82,75,68,71,65,52,93,67,40,29.9,29.79,29.71,10,7,2,12,3,19,0.03,Little rain,5,Cloudy,Rain,335
9/4/13,2013,9,Sep,4,39926,Wednesday,0,2880703,71734.81,6155207.58,0.509338164,78388,1263,1263,176,82,74,65,56,54,48,73,54,35,30.01,29.96,29.89,10,10,10,12,5,18,0,No rain,0,Sunny,,273
9/5/13,2013,9,Sep,5,38857,Thursday,0,2919560,67675.05,6222882.63,0.493572644,78726,1354,1354,185,80,72,64,57,48,38,68,48,27,30.16,30.01,29.94,10,10,10,13,6,19,0,No rain,1,Sunny,,307
9/6/13,2013,9,Sep,6,38822,Friday,0,2958382,68646.73,6291529.36,0.491355525,79010,1556,1556,155,72,65,57,47,41,36,57,42,27,30.26,30.2,30.14,10,10,10,12,4,17,0,No rain,0,Sunny,,334
