Date,year,monthNum,month,day,trips,day_of_week,Fedholiday,cumulativeTrips,milesToday,totalMiles,Dailytrips-per-member,members,Annual-member-sign-ups,24-hour-passes,7-Day-Passes,maxtemp,meantemp,mintemp,Max-Dew-PointF,MeanDewPointF,MinDewpointF,Max-Humidity,MeanHumidity,Min-Humidity,Max-Sea-Level-PressureIn,MeanSeaLevelPressureIn, Min Sea Level PressureIn, Max VisibilityMiles,MeanVisibilityMiles, Min VisibilityMiles,maxwind,meanwind,maxgust,precip,rain,cloudsNum,sky,Events, WindDirDegrees
9/7/13,2013,9,Sep,7,37085,Saturday,0,2995467,76879.05,6368408.4,0.467813758,79273,3600,3600,200,80,70,59,53,47,42,67,48,28,30.14,30.03,29.91,10,10,10,10,3,14,0,No rain,1,Sunny,,253
9/8/13,2013,9,Sep,8,35808,Sunday,0,3031275,73244.67,6441653.08,0.449572499,79649,3025,3025,182,83,74,64,60,52,40,63,45,27,30.09,29.9,29.83,10,10,10,15,7,25,0,No rain,3,Cloudy,,337
9/9/13,2013,9,Sep,9,38209,Monday,0,3069484,69577.82,6511230.9,0.477320141,80049,1060,1060,203,73,65,57,58,48,40,68,51,34,30.25,30.19,30.1,10,10,10,12,4,17,0,No rain,1,Sunny,,75
9/10/13,2013,9,Sep,10,39817,Tuesday,0,3109301,68945.01,6580175.9,0.495544493,80350,986,986,182,87,78,68,71,66,58,84,71,57,30.18,30.13,30.05,10,9,7,12,6,22,0.01,Little rain,4,Cloudy,,239
9/11/13,2013,9,Sep,11,38459,Wednesday,0,3147760,64954.7,6645130.6,0.476892554,80645,1046,1046,147,96,87,77,73,71,70,79,64,49,30.12,30.06,29.98,9,6,4,12,4,21,0,No rain,0,Sunny,,239
9/12/13,2013,9,Sep,12,33518,Thursday,0,3181278,55126.83,6700257.43,0.414262761,80910,756,756,126,87,79,70,74,70,67,97,79,61,29.98,29.84,29.68,9,5,0,15,4,24,1.6,Rain,3,Cloudy,Fog-Rain,248
9/13/13,2013,9,Sep,13,39137,Friday,0,3220415,68772.63,6769030.06,0.48219654,81164,1375,1375,145,77,68,59,67,57,46,93,70,47,29.86,29.71,29.65,10,9,3,14,5,24,0.06,Little rain,2,Sunny,Rain,301
9/14/13,2013,9,Sep,14,33883,Saturday,0,3254298,67871.17,6836901.23,0.416406538,81370,3035,3035,153,67,61,54,46,44,42,66,55,44,30.14,29.99,29.86,10,10,10,12,5,19,0,No rain,2,Sunny,,290
9/15/13,2013,9,Sep,15,34235,Sunday,0,3288533,70936.16,6907837.39,0.419289651,81650,3010,3010,167,73,62,51,51,44,38,77,54,31,30.22,30.15,30.09,10,10,10,9,4,14,0,No rain,0,Sunny,,278
9/16/13,2013,9,Sep,16,33425,Monday,0,3321958,55362.28,6963199.67,0.407771136,81970,781,781,149,73,65,56,57,52,46,78,61,44,30.25,30.11,30.04,10,10,7,14,5,21,0.03,Little rain,5,Cloudy,Rain,327
9/17/13,2013,9,Sep,17,40949,Tuesday,0,3362907,68372.03,7031571.7,0.498120598,82207,971,971,170,65,58,50,43,37,33,61,49,36,30.44,30.37,30.27,10,10,10,17,5,25,0,No rain,0,Sunny,,45
9/18/13,2013,9,Sep,18,40661,Wednesday,0,3403568,68061.45,7099633.15,0.492980116,82480,1078,1078,152,72,62,51,50,43,39,69,51,33,30.36,30.28,30.2,10,10,10,9,3,15,0,No rain,0,Sunny,,264
9/19/13,2013,9,Sep,19,41748,Thursday,0,3445316,71029.08,7170662.22,0.504599021,82735,1209,1209,154,78,67,55,54,48,44,72,52,31,30.2,30.14,30.08,10,10,9,8,3,13,0,No rain,0,Sunny,,256
9/20/13,2013,9,Sep,20,41809,Friday,0,3487125,74393.47,7245055.69,0.503971842,82959,1631,1631,156,79,70,60,57,54,53,78,60,42,30.09,30.05,30.01,10,10,8,9,3,16,0,No rain,0,Sunny,,260
9/21/13,2013,9,Sep,21,33776,Saturday,0,3520901,69274.72,7314330.41,0.406151922,83161,3096,3096,132,77,69,61,67,62,56,90,77,64,30.02,29.85,29.68,10,9,2,16,4,28,0.72,Rain,5,Cloudy,Rain,193
9/22/13,2013,9,Sep,22,31635,Sunday,0,3552536,62411.04,7376741.45,0.379261977,83412,2479,2479,136,69,62,54,67,54,39,93,68,42,29.92,29.75,29.66,10,7,0,14,6,24,0.45,Rain,5,Cloudy,Fog-Rain,290
9/23/13,2013,9,Sep,23,37124,Monday,0,3589660,62160.82,7438902.27,0.443594738,83689,1006,1006,171,66,58,50,42,40,37,71,54,37,30.05,29.99,29.93,10,10,10,12,4,19,0,No rain,0,Sunny,,351
9/24/13,2013,9,Sep,24,40697,Tuesday,0,3630357,67489.36,7506391.63,0.484938395,83922,1158,1158,153,73,60,47,42,40,39,76,54,31,30.06,29.98,29.88,10,10,10,12,4,17,0,No rain,0,Sunny,,305
9/25/13,2013,9,Sep,25,40341,Wednesday,0,3670698,67922.94,7574314.57,0.479507904,84130,966,966,133,73,63,52,50,44,39,71,52,33,29.96,29.93,29.88,10,10,10,7,2,11,0,No rain,0,Sunny,,27
9/26/13,2013,9,Sep,26,40204,Thursday,0,3710902,67059.52,7641374.09,0.476887492,84305,973,973,117,71,65,58,55,53,51,80,69,57,30.11,30.03,29.95,10,10,10,10,4,16,0,No rain,5,Cloudy,,57
9/27/13,2013,9,Sep,27,39336,Friday,0,3750238,67437.64,7708811.73,0.465410144,84519,1321,1321,137,69,63,57,53,50,48,80,66,52,30.27,30.2,30.11,10,10,10,10,5,14,0,No rain,6,Cloudy,,54
9/28/13,2013,9,Sep,28,37071,Saturday,0,3787309,75849.59,7784661.32,0.437612145,84712,3452,3452,126,73,65,56,52,50,47,83,62,41,30.33,30.28,30.24,10,10,10,12,5,17,0,No rain,1,Sunny,,80
9/29/13,2013,9,Sep,29,34440,Sunday,0,3821749,68618.62,7853279.94,0.405591606,84913,2718,2718,161,72,65,57,56,53,48,87,66,44,30.24,30.17,30.1,10,10,10,9,3,14,0,No rain,2,Sunny,,63
9/30/13,2013,9,Sep,30,39091,Monday,0,3860840,64769.5,7918049.43,0.458620771,85236,1023,1023,140,75,66,56,53,51,46,86,62,38,30.09,30.04,29.98,10,10,7,12,3,17,0,No rain,0,Sunny,,10
10/1/13,2013,10,Oct,1,42685,Tuesday,0,3903525,70626.41,7988675.85,0.499274803,85494,258,1004,160,82,71,59,57,53,51,72,53,34,30.01,29.96,29.9,10,10,10,10,2,15,0,No rain,0,Sunny,,282
10/2/13,2013,10,Oct,2,43450,Wednesday,0,3946975,73077,8061752.85,0.506569666,85773,279,1129,153,83,74,64,59,56,52,68,56,43,30.02,29.96,29.91,10,10,9,13,4,21,0,No rain,0,Sunny,,281
10/3/13,2013,10,Oct,3,42371,Thursday,0,3989346,70446.4,8132199.25,0.490785679,86333,560,1076,146,78,71,63,57,54,49,78,57,36,30.13,30.07,30.03,10,10,8,7,2,12,0,No rain,0,Sunny,,271
10/4/13,2013,10,Oct,4,42232,Friday,0,4031578,75074.72,8207273.97,0.484801175,87112,779,1434,141,86,76,66,66,61,55,84,65,45,30.07,30.02,29.97,10,8,5,9,3,14,0,No rain,2,Sunny,Rain,337
10/5/13,2013,10,Oct,5,36024,Saturday,0,4067602,72951.14,8280225.11,0.410006601,87862,750,2971,137,76,70,64,62,61,60,87,74,60,30.13,30.07,30.03,8,6,4,8,4,14,0,No rain,5,Cloudy,,68
10/6/13,2013,10,Oct,6,27841,Sunday,0,4095443,49310.75,8329535.86,0.31421832,88604,742,1368,105,70,68,65,65,64,62,93,89,84,30.13,30.08,30.04,6,4,2,10,6,17,0,No rain,8,Cloudy,,129
10/7/13,2013,10,Oct,7,26350,Monday,0,4121793,40197.87,8369733.74,0.295440021,89189,585,421,78,76,68,60,69,64,48,90,77,64,30.05,29.92,29.78,10,7,2,15,6,29,0.25,Little rain,7,Cloudy,Rain,199
10/8/13,2013,10,Oct,8,40254,Tuesday,0,4162047,67151.3,8436885.03,0.449659856,89521,332,896,137,67,61,54,45,42,38,71,55,39,30.33,30.21,30.02,10,10,10,13,6,19,0,No rain,0,Sunny,,33
10/9/13,2013,10,Oct,9,38784,Wednesday,0,4200831,60453.16,8497338.2,0.432042242,89769,248,714,98,62,58,53,48,44,37,72,60,47,30.41,30.35,30.3,10,10,10,18,8,27,0,No rain,2,Sunny,,66
10/10/13,2013,10,Oct,10,32699,Thursday,0,4233530,48977.37,8546315.57,0.363520139,89951,182,482,95,65,60,54,54,49,45,77,70,62,30.3,30.2,30.08,10,10,10,16,9,25,0,No rain,7,Cloudy,Rain,63
10/11/13,2013,10,Oct,11,34878,Friday,0,4268408,56472.63,8602788.2,0.387013016,90121,170,798,90,68,64,60,59,55,49,90,71,52,30.12,30.06,30.02,10,10,2,17,9,25,0.02,Little rain,7,Cloudy,Rain,66
10/12/13,2013,10,Oct,12,34022,Saturday,0,4302430,69386.36,8672174.56,0.376762162,90301,180,2855,162,72,66,60,54,46,35,72,50,27,30.31,30.19,30.08,10,10,10,21,11,29,0,No rain,5,Cloudy,,71
10/13/13,2013,10,Oct,13,30198,Sunday,0,4332628,58253.01,8730427.56,0.333598462,90522,221,2208,122,65,61,56,52,49,46,77,67,56,30.39,30.35,30.29,10,10,10,17,9,26,0,No rain,6,Cloudy,,73
10/14/13,2013,10,Oct,14,34668,Monday,1,4367296,58222.87,8788650.44,0.381932357,90770,248,1291,118,66,59,52,50,47,44,83,66,48,30.4,30.33,30.25,10,10,10,8,2,12,0,No rain,2,Sunny,,84
10/15/13,2013,10,Oct,15,39390,Tuesday,0,4406686,64384.11,8853034.55,0.432966574,90977,207,934,145,72,63,53,53,49,44,89,67,44,30.26,30.2,30.13,10,10,7,8,3,13,0,No rain,0,Sunny,,78
10/16/13,2013,10,Oct,16,38743,Wednesday,0,4445429,62567.19,8915601.73,0.424948723,91171,194,789,118,67,62,56,58,54,49,86,75,63,30.12,30.04,29.93,10,10,6,8,3,12,0,No rain,6,Cloudy,,70
10/17/13,2013,10,Oct,17,38655,Thursday,0,4484084,62782.38,8978384.12,0.423185137,91343,172,815,112,73,67,61,61,59,57,90,74,57,29.93,29.86,29.7,10,7,4,9,3,18,0.02,Little rain,7,Cloudy,Rain,228
10/18/13,2013,10,Oct,18,39913,Friday,0,4523997,67045.43,9045429.55,0.435964654,91551,208,1267,122,68,62,55,61,45,39,81,59,37,29.99,29.84,29.68,10,10,10,15,7,26,0,No rain,2,Sunny,,277
10/19/13,2013,10,Oct,19,31044,Saturday,0,4555041,58542.63,9103972.18,0.338690145,91659,108,2146,130,64,58,52,54,45,39,80,60,40,29.99,29.89,29.76,10,10,10,10,3,20,0.01,Little rain,3,Cloudy,,254
10/20/13,2013,10,Oct,20,30691,Sunday,0,4585732,59015.16,9162987.34,0.334269999,91815,156,2114,101,63,57,50,53,39,31,80,55,30,30.07,29.92,29.77,10,10,9,14,6,23,0,No rain,1,Sunny,,275
10/21/13,2013,10,Oct,21,36698,Monday,0,4622430,61276.03,9224263.36,0.398765606,92029,214,849,93,66,58,50,45,37,33,62,46,29,30.15,30.08,30,10,10,10,10,4,19,0,No rain,0,Sunny,,262
10/22/13,2013,10,Oct,22,38082,Tuesday,0,4660512,58309.86,9282573.23,0.412978647,92213,184,636,87,67,59,51,48,44,35,67,57,47,29.98,29.84,29.76,10,10,10,12,5,19,0,No rain,2,Sunny,,259
10/23/13,2013,10,Oct,23,33803,Wednesday,0,4694315,49344.83,9331918.05,0.366134483,92324,111,355,66,55,50,45,39,35,31,66,55,44,29.82,29.73,29.63,10,10,10,14,4,21,0,No rain,3,Cloudy,,50
10/24/13,2013,10,Oct,24,33651,Thursday,0,4727966,49520.22,9381438.28,0.364148902,92410,86,444,69,54,48,41,34,28,23,70,50,29,30.01,29.9,29.77,10,10,10,15,7,23,0,No rain,1,Sunny,,280
10/25/13,2013,10,Oct,25,32326,Friday,0,4760292,49095.71,9430533.99,0.349451381,92505,95,592,77,53,47,40,32,28,23,70,51,32,30.23,30.12,30.02,10,10,10,15,5,23,0,No rain,2,Sunny,,286
10/26/13,2013,10,Oct,26,25631,Saturday,0,4785923,45286.3,9475820.28,0.276798635,92598,93,1387,65,55,48,41,33,29,25,67,50,32,30.23,30.09,29.91,10,10,10,17,6,26,0,No rain,1,Sunny,,239
10/27/13,2013,10,Oct,27,25047,Sunday,0,4810970,44389.52,9520209.81,0.270200004,92698,100,1362,98,58,52,46,31,29,27,53,42,30,30.13,29.97,29.86,10,10,10,13,5,22,0,No rain,2,Sunny,,277
10/28/13,2013,10,Oct,28,32773,Monday,0,4843743,50799.69,9571009.5,0.352989962,92844,146,530,104,61,52,43,33,30,28,62,47,31,30.32,30.21,30.14,10,10,10,13,4,21,0,No rain,0,Sunny,,294
10/29/13,2013,10,Oct,29,34631,Tuesday,0,4878374,52807.88,9623817.38,0.372600706,92944,100,450,101,56,50,44,32,30,28,54,46,38,30.42,30.38,30.33,10,10,10,10,5,14,0,No rain,3,Cloudy,,55
10/30/13,2013,10,Oct,30,36338,Wednesday,0,4914712,53509.93,9677327.31,0.390584189,93035,91,453,73,60,54,47,49,42,31,72,61,50,30.35,30.27,30.19,10,9,5,9,2,13,0,No rain,5,Cloudy,,291
10/31/13,2013,10,Oct,31,32517,Thursday,0,4947229,50981.21,9728308.51,0.34913085,93137,102,464,83,66,60,53,59,55,48,90,79,67,30.23,30.06,29.81,10,6,2,13,4,23,0.06,Little rain,7,Cloudy,Rain,160
11/1/13,2013,11,Nov,1,31517,Friday,0,4978746,51110.53,9779419.04,0.338089057,93221,84,848,75,70,65,59,62,57,50,87,69,51,29.78,29.64,29.56,10,8,1,23,5,43,0.13,Little rain,4,Cloudy,Rain,265
11/2/13,2013,11,Nov,2,32184,Saturday,0,5020262,63298,9856916,0.34487784,93320,94,2434,110,68,62,55,55,44,36,87,62,37,29.78,29.68,29.63,10,10,9,10,4,18,0,No rain,3,Cloudy,,336
11/3/13,2013,11,Nov,3,21503,Sunday,0,5041814,33949,9890881,0.230165696,93424,104,831,65,55,46,37,40,30,20,71,57,42,30.43,30.12,29.8,10,10,10,15,6,21,0,No rain,4,Cloudy,,356
11/4/13,2013,11,Nov,4,28265,Monday,0,5070762,42173,9934968,0.302315632,93495,71,429,75,46,41,35,23,16,12,47,37,27,30.66,30.6,30.47,10,10,10,15,6,24,0,No rain,0,Sunny,,65
11/5/13,2013,11,Nov,5,32668,Tuesday,0,5103438,48255,9983229,0.349024552,93598,103,471,69,55,48,41,41,34,25,67,56,45,30.66,30.59,30.48,10,10,10,10,4,14,0,No rain,3,Cloudy,,82
11/6/13,2013,11,Nov,6,36076,Wednesday,0,5139520,56300,10039538,0.384991356,93706,108,627,69,61,55,49,51,44,40,80,65,49,30.49,30.32,30.07,10,10,10,9,4,19,0,No rain,3,Cloudy,,173
11/7/13,2013,11,Nov,7,26679,Thursday,0,5166303,37296,10076842,0.284412179,93804,93,221,43,64,54,44,56,48,29,84,67,49,30.05,29.88,29.76,10,9,2,15,7,24,0.13,Little rain,6,Cloudy,Rain,293
11/8/2013,2013,11,Nov,8,29719,Friday,0,5196337,45326,10123700,0.316634526,93859,61,456,54,50,45,40,31,25,21,65,50,34,30.22,30.07,29.95,10,10,10,16,9,28,0,No rain,3,Cloudy,,290
11/9/2013,2013,11,Nov,9,22548,Saturday,0,5218897,38813,10162544,0.240081773,93918,59,1121,46,50,44,38,33,26,22,59,46,32,30.29,30.19,30,10,10,10,13,5,23,0,No rain,1,Sunny,,258
11/10/2013,2013,11,Nov,10,20439,Sunday,0,5239500,33572,10196513,0.217507902,93969,51,952,51,61,53,44,35,30,26,65,47,29,30.05,29.93,29.81,10,10,10,18,8,33,0,No rain,4,Cloudy,,269
11/11/2013,2013,11,Nov,11,28335,Monday,1,5267837,41988,10238502,0.301240684,94061,92,438,57,53,48,43,30,26,22,49,42,35,30.21,30.1,29.97,10,10,10,16,6,26,0,No rain,4,Cloudy,,282
11/12/2013,2013,11,Nov,12,20676,Tuesday,0,5288658,26743,10266212,0.219660671,94127,66,111,25,52,42,31,33,23,13,75,56,37,30.29,30.13,29.94,10,9,2,16,6,29,0.03,Little rain,5,Cloudy,Rain-Snow,310
11/13/2013,2013,11,Nov,13,24457,Wednesday,0,5313392,33093,10300465,0.259658771,94189,62,157,21,39,34,29,18,13,8,58,43,27,30.37,30.32,30.28,10,10,10,14,6,22,0,No rain,0,Sunny,,290
11/14/2013,2013,11,Nov,14,27976,Thursday,0,5341374,40091,10340560,0.296827586,94250,61,274,53,52,43,33,19,15,11,51,35,19,30.25,30.21,30.16,10,10,10,17,8,31,0,No rain,0,Sunny,,261
11/15/2013,2013,11,Nov,15,30064,Friday,0,5371443,46078,10386644,0.318795398,94305,55,601,56,57,51,44,27,22,19,41,33,24,30.25,30.21,30.17,10,10,10,13,5,23,0,No rain,0,Sunny,,239
11/16/2013,2013,11,Nov,16,26060,Saturday,0,5397521,46782,10433454,0.276173419,94361,56,1696,50,60,53,45,46,40,27,83,61,38,30.33,30.29,30.23,10,9,6,12,3,17,0.05,Little rain,3,Cloudy,Rain,252
11/17/2013,2013,11,Nov,17,18691,Sunday,0,5416348,29167,10464818,0.197945459,94425,64,652,43,60,56,51,57,53,46,93,85,77,30.3,30.08,29.8,8,4,2,10,4,16,0.03,Little rain,8,Cloudy,Rain,102
11/18/2013,2013,11,Nov,18,31860,Monday,0,5448586,50799,10516966,0.337025166,94533,108,515,60,65,58,51,60,44,22,93,60,26,29.82,29.68,29.6,10,8,2,20,7,31,0.22,Little rain,4,Cloudy,Rain,259
11/19/2013,2013,11,Nov,19,28395,Tuesday,0,5476989,38699,10555678,0.300180774,94593,60,198,44,51,44,36,26,22,19,48,42,36,30.35,30.08,29.79,10,10,10,20,9,31,0,No rain,3,Cloudy,,312
11/20/2013,2013,11,Nov,20,27158,Wednesday,0,5504242,37238,10593410,0.286924735,94652,59,252,41,44,38,32,19,15,9,56,40,24,30.61,30.52,30.36,10,10,10,15,7,23,0,No rain,0,Sunny,,38
11/21/2013,2013,11,Nov,21,29819,Thursday,0,5534306,42583,10637287,0.314888539,94697,51,289,49,52,44,35,40,31,18,66,55,44,30.62,30.52,30.4,10,10,10,10,5,14,0,No rain,5,Cloudy,,57
11/22/2013,2013,11,Nov,22,26332,Friday,0,5560644,38045,10675342,0.277942558,94739,42,352,42,57,54,51,48,45,39,89,76,63,30.38,30.12,29.91,10,8,4,12,6,18,0.07,Little rain,6,Cloudy,Rain,256
11/23/2013,2013,11,Nov,23,19619,Saturday,0,5580273,31619,10706979,0.207021357,94768,29,858,32,54,43,31,45,23,8,77,53,28,30.04,29.97,29.91,10,8,0,21,10,34,0,No rain,3,Cloudy,Fog-Snow,298
11/24/2013,2013,11,Nov,24,9690,Sunday,0,5589970,12386,10719372,0.102206565,94808,40,137,7,30,27,23,5,2,-4,44,34,24,30.36,30.19,30.01,10,10,10,25,12,43,0,No rain,1,Sunny,,302
11/25/2013,2013,11,Nov,25,19834,Monday,0,5609977,26458,10746972,0.209124553,94843,35,118,32,35,29,23,13,9,5,50,43,35,30.48,30.4,30.34,10,10,10,15,6,23,0,No rain,0,Sunny,,271
11/26/2013,2013,11,Nov,26,15519,Tuesday,0,5625498,20982,10767956,0.163576571,94873,30,89,17,47,40,33,45,27,14,92,65,37,30.33,30.18,29.8,10,7,2,12,4,21,0.51,Rain,7,Cloudy,Rain,90
11/27/2013,2013,11,Nov,27,8311,Wednesday,0,5633988,11041,10782531,0.087579165,94897,24,49,10,62,49,35,58,46,18,93,73,52,29.73,29.48,29.36,10,6,1,20,10,37,1.98,Rain,8,Cloudy,Rain,276
11/28/2013,2013,11,Nov,28,5420,Thursday,1,5639409,9033,10791567,0.057105529,94912,15,211,16,35,33,30,16,10,6,53,43,32,30.48,30.22,29.78,10,10,10,22,7,39,0,No rain,3,Cloudy,,292
11/29/2013,2013,11,Nov,29,10527,Friday,0,5649937,16663,10808231,0.110894573,94928,16,351,19,39,34,29,17,15,10,53,46,38,30.74,30.59,30.47,10,10,10,13,4,19,0,No rain,4,Cloudy,,320
11/30/2013,2013,11,Nov,30,10182,Saturday,0,5660120,16274,10824505,0.10722974,94955,27,401,17,39,32,25,28,17,9,64,51,38,30.76,30.63,30.38,10,10,10,12,5,16,0,No rain,3,Cloudy,,55
12/1/2013,2013,12,Dec,1,13792,Sunday,0,5673915,20687,10845197,0.145183532,94997,42,456,26,49,43,36,32,29,26,76,61,46,30.35,30.19,30.02,10,10,10,7,2,10,0,No rain,6,Cloudy,,306
12/2/2013,2013,12,Dec,2,25440,Monday,0,5699726,38146,10884574,0.267589486,95071,74,240,45,49,45,41,37,34,27,82,68,53,30.01,29.95,29.89,10,8,6,8,3,11,0,No rain,4,Cloudy,,47
12/3/2013,2013,12,Dec,3,28454,Tuesday,0,5728183,41147,10925726,0.299075047,95140,69,252,47,53,46,38,37,34,32,86,66,46,30.01,29.93,29.88,10,7,5,8,3,12,0,No rain,1,Sunny,,353
12/4/2013,2013,12,Dec,4,29151,Wednesday,0,5757338,43232,10968957,0.306217633,95197,57,252,60,52,47,41,42,36,32,73,64,54,30.16,30.1,30.02,7,6,4,8,3,12,0,No rain,4,Cloudy,,56
12/5/2013,2013,12,Dec,5,27956,Thursday,0,5785481,40984,11012395,0.293501312,95250,53,311,35,60,54,48,54,50,43,93,83,72,30.12,30.06,29.94,9,4,0,9,2,17,0.01,Little rain,8,Cloudy,Fog-Rain,116
12/6/2013,2013,12,Dec,6,11140,Friday,0,5796766,15675,11033988,0.116898925,95296,46,62,11,62,50,37,58,43,32,90,84,77,30.16,30.03,29.88,10,6,2,15,6,22,0.73,Rain,8,Cloudy,Rain,26
12/7/2013,2013,12,Dec,7,16097,Saturday,0,5812864,23765,11057754,0.16884847,95334,38,456,20,41,37,32,33,26,14,89,65,40,30.51,30.29,30.1,10,9,3,13,6,22,0.14,Little rain,4,Cloudy,Rain,334
12/8/2013,2013,12,Dec,8,10409,Sunday,0,5823279,13701,11071460,0.10916165,95354,20,180,15,33,31,29,29,21,12,85,65,45,30.6,30.51,30.39,10,6,1,15,6,20,0.08,Little rain,6,Cloudy,Rain-Snow,53
12/9/2013,2013,12,Dec,9,15434,Monday,0,5838792,19736,11093658,0.161780275,95401,35,58,16,39,35,31,36,32,28,92,86,79,30.39,30.12,29.97,10,4,1,22,7,31,0.3,Rain,7,Cloudy,Rain-Snow,31
12/10/2013,2013,12,Dec,10,13354,Tuesday,0,5852244,18057,11112054,0.139952629,95418,34,39,7,37,34,30,31,28,14,89,74,58,30.12,29.96,29.88,10,5,0,14,6,24,0.23,Little rain,5,Cloudy,Fog-Snow,277
12/11/2013,2013,12,Dec,11,19461,Wednesday,0,5871814,25881,11139134,0.203899669,95444,26,93,17,33,30,27,16,13,12,55,48,41,30.32,30.24,30.15,10,10,10,15,8,25,0,No rain,0,Sunny,,260
12/12/2013,2013,12,Dec,12,17799,Thursday,0,5889688,22949,11162455,0.186417956,95479,35,69,12,30,27,23,14,6,3,57,47,37,30.36,30.26,30.16,10,10,10,16,7,26,0,No rain,1,Sunny,,298
12/13/2013,2013,12,Dec,13,18498,Friday,0,5908310,26531,11191960,0.193682138,95507,28,161,17,35,29,23,15,10,3,47,43,38,30.33,30.19,30.14,10,10,10,18,6,28,0,No rain,2,Sunny,,267
12/14/2013,2013,12,Dec,14,3800,Saturday,0,5912116,5564,11197531,0.039783911,95516,9,39,1,34,28,22,31,21,15,88,66,43,30.51,30.28,29.81,10,3,0,21,10,31,0.73,Rain,7,Cloudy,Fog-Rain-Snow,68
12/15/2013,2013,12,Dec,15,7715,Sunday,0,5919833,10019,11207552,0.080755744,95535,19,76,11,40,35,30,34,28,19,92,72,52,29.84,29.64,29.51,10,8,2,21,9,28,0.72,Rain,7,Cloudy,Rain,316
12/16/2013,2013,12,Dec,16,16167,Monday,0,5936086,21013,11230544,0.169167504,95568,33,67,22,33,29,25,20,10,5,56,46,35,30.23,30.07,29.84,10,10,10,17,8,26,0,No rain,1,Sunny,,286
12/17/2013,2013,12,Dec,17,8139,Tuesday,0,5944375,11337,11242778,0.085139546,95596,28,15,7,32,28,24,28,21,6,85,64,42,30.22,30.06,29.94,10,4,0,13,6,17,0.19,Little rain,8,Cloudy,Fog-Rain-Snow,75
12/18/2013,2013,12,Dec,18,15482,Wednesday,0,5959861,20977,11263759,0.161898189,95628,32,89,16,37,30,23,20,18,17,81,64,47,30.16,30.04,29.92,10,10,8,14,7,24,0,No rain,3,Cloudy,,296
12/19/2013,2013,12,Dec,19,19429,Thursday,0,5979346,26616,11292117,0.2031005,95662,34,157,15,47,39,30,27,22,18,63,52,41,30.18,30.11,30.03,10,10,9,15,5,24,0,No rain,0,Sunny,,255
12/20/2013,2013,12,Dec,20,22855,Friday,0,6002335,33885,11327104,0.238851673,95687,25,365,33,53,47,41,43,31,27,68,55,41,30.1,30.03,29.98,10,10,10,16,5,27,0,No rain,2,Sunny,,254
12/21/2013,2013,12,Dec,21,18574,Saturday,0,6020913,31922,11359031,0.19403905,95723,36,962,41,65,58,51,52,47,44,77,67,56,30,29.95,29.9,10,10,9,16,8,26,0.01,Little rain,1,Sunny,,244
12/22/2013,2013,12,Dec,22,15617,Sunday,0,6036533,26498,11385533,0.16307628,95765,42,741,50,71,66,61,60,56,53,78,70,61,29.96,29.89,29.81,10,10,10,16,6,27,0,No rain,5,Cloudy,,215
